Year,Lg,W,L,Finish,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge,Team
1942,AL,66,82,6,4.11,3.58,148,86,8,8,1314.1,1304,609,523,74,473,432,1.352,2.96,0.51,173,144,0.97,29.7,CHW
1941,AL,77,77,3,4.16,3.52,156,106,14,4,1416.0,1362,649,554,89,521,564,1.33,3.58,0.57,180,145,0.971,30.2,CHW
1940,AL,82,72,4,4.34,3.74,155,83,10,18,1386.2,1335,672,576,111,480,574,1.309,3.73,0.72,185,125,0.969,30.8,CHW
1939,AL,85,69,4,4.75,4.31,155,62,5,21,1377.0,1470,737,659,99,454,535,1.397,3.5,0.65,167,140,0.972,30.2,CHW
1938,AL,65,83,6,5.05,4.36,149,83,5,9,1316.1,1449,752,638,101,550,432,1.519,2.95,0.69,196,155,0.967,29.3,CHW
1937,AL,86,68,3,4.74,4.17,154,71,15,21,1351.1,1435,730,626,115,532,533,1.456,3.55,0.77,174,173,0.971,29.3,CHW
1936,AL,81,70,4,5.71,5.06,153,80,5,8,1365.0,1603,873,768,104,578,414,1.598,2.73,0.69,168,174,0.973,28.8,CHW
1935,AL,74,78,5,4.9,4.38,153,80,8,8,1360.2,1443,750,662,105,574,436,1.482,2.88,0.69,146,133,0.976,29.5,CHW
1934,AL,53,99,8,6.18,5.41,153,72,5,8,1355.0,1599,946,814,139,628,506,1.644,3.36,0.92,207,126,0.966,32.3,CHW
1933,AL,67,83,6,5.39,4.45,151,53,8,13,1371.1,1505,814,678,85,519,423,1.476,2.78,0.56,186,143,0.97,32.3,CHW
1932,AL,49,102,7,5.9,4.82,152,50,2,11,1348.2,1551,897,723,88,580,379,1.58,2.53,0.59,264,170,0.958,31.2,CHW
1931,AL,56,97,8,6.02,5.04,156,54,6,11,1390.1,1613,939,778,82,588,421,1.583,2.73,0.53,245,131,0.961,29.0,CHW
1930,AL,62,92,7,5.74,4.71,154,63,2,10,1361.0,1629,884,713,74,407,471,1.496,3.11,0.49,235,136,0.962,29.2,CHW
1929,AL,59,93,7,5.21,4.41,152,78,5,7,1357.2,1481,792,666,84,505,328,1.463,2.17,0.56,188,153,0.97,29.1,CHW
1928,AL,72,82,5,4.68,3.98,155,88,6,13,1378.0,1518,725,610,66,501,418,1.465,2.73,0.43,186,149,0.97,29.3,CHW
1927,AL,70,83,5,4.63,3.91,153,85,10,8,1367.0,1467,708,594,55,440,365,1.395,2.4,0.36,178,131,0.971,28.3,CHW
1926,AL,81,72,5,4.29,3.74,155,85,11,13,1380.0,1426,665,573,47,506,458,1.4,2.99,0.31,165,122,0.973,28.1,CHW
1925,AL,79,75,5,5.0,4.29,154,70,12,12,1385.1,1579,770,660,69,489,374,1.493,2.43,0.45,200,162,0.968,27.5,CHW
1924,AL,66,87,8,5.57,4.74,154,75,1,11,1370.2,1635,858,722,52,512,360,1.566,2.36,0.34,229,136,0.963,26.2,CHW
1923,AL,69,85,7,4.75,4.04,156,72,5,11,1398.0,1512,741,628,49,535,467,1.464,3.01,0.32,184,138,0.971,26.3,CHW
1922,AL,77,77,5,4.46,3.94,155,86,13,9,1403.2,1472,691,614,57,529,484,1.426,3.1,0.37,155,143,0.975,27.6,CHW
1921,AL,62,92,7,5.57,4.94,154,84,7,9,1365.1,1603,858,749,52,549,392,1.576,2.58,0.34,200,155,0.969,27.5,CHW
1920,AL,96,58,2,4.32,3.59,154,109,9,9,1386.2,1467,665,553,45,405,438,1.35,2.84,0.29,198,142,0.968,29.6,CHW
1919,AL,88,52,1,3.81,3.04,140,88,14,3,1265.2,1245,534,427,24,342,468,1.254,3.33,0.17,176,116,0.969,29.3,CHW
1918,AL,57,67,6,3.6,2.73,124,76,9,8,1126.0,1092,446,342,9,300,349,1.236,2.79,0.07,169,98,0.967,28.6,CHW
1917,AL,100,54,1,2.97,2.16,156,78,22,21,1424.1,1236,463,342,10,413,517,1.158,3.27,0.06,204,117,0.967,28.6,CHW
1916,AL,89,65,2,3.21,2.36,155,73,20,15,1412.1,1189,497,371,14,405,644,1.129,4.1,0.09,205,134,0.968,27.4,CHW
1915,AL,93,61,3,3.28,2.43,155,91,16,9,1401.0,1242,509,378,14,350,635,1.136,4.08,0.09,222,95,0.965,27.7,CHW
1914,AL,70,84,6,3.57,2.48,157,74,17,11,1398.2,1207,560,385,15,401,660,1.15,4.25,0.1,299,90,0.955,26.8,CHW
1913,AL,78,74,5,3.25,2.33,153,84,17,8,1360.1,1190,498,352,10,438,602,1.197,3.98,0.07,255,104,0.96,26.9,CHW
1912,AL,78,76,4,4.1,3.06,158,85,14,16,1413.0,1398,648,480,26,426,698,1.291,4.45,0.17,291,102,0.957,28.2,CHW
1911,AL,77,74,4,4.05,2.97,154,85,17,11,1386.1,1349,624,457,22,384,752,1.25,4.88,0.14,252,98,0.961,28.1,CHW
1910,AL,68,85,6,3.07,2.03,156,103,23,7,1421.0,1130,479,320,16,381,785,1.063,4.97,0.1,314,100,0.954,28.2,CHW
1909,AL,78,74,4,2.92,2.05,159,115,26,4,1430.1,1182,464,326,8,340,669,1.064,4.21,0.05,246,101,0.964,26.8,CHW
1908,AL,88,64,3,3.01,2.22,156,107,23,10,1414.0,1165,470,349,11,284,623,1.025,3.97,0.07,232,82,0.966,28.0,CHW
1907,AL,87,64,3,3.02,2.22,157,112,17,9,1406.1,1279,474,347,13,305,604,1.126,3.87,0.08,233,101,0.966,27.5,CHW
1906,AL,93,58,1,2.99,2.13,154,117,32,4,1375.1,1212,460,326,11,255,543,1.067,3.55,0.07,243,80,0.963,26.8,CHW
1905,AL,92,60,2,2.85,1.99,158,131,16,0,1427.0,1163,451,315,11,329,613,1.046,3.87,0.07,218,95,0.967,25.9,CHW
1904,AL,89,65,3,3.09,2.3,156,134,26,3,1380.0,1161,482,353,13,303,550,1.061,3.59,0.08,238,95,0.964,25.3,CHW
1903,AL,60,77,7,4.44,3.02,138,114,9,4,1235.0,1233,613,414,23,287,391,1.231,2.85,0.17,297,85,0.949,25.6,CHW
1902,AL,74,60,4,4.36,3.41,138,116,11,0,1221.1,1269,602,463,30,331,346,1.31,2.55,0.22,257,125,0.955,27.7,CHW
1901,AL,83,53,1,4.61,2.98,137,110,11,2,1218.1,1250,631,403,27,312,394,1.282,2.91,0.2,345,100,0.941,26.1,CHW
2023,NL Central,82,80,3,5.07,4.83,162,0,6,53,1439.1,1426,821,772,222,613,1381,1.417,8.64,1.39,91,125,0.984,27.7,CIN
2022,NL Central,62,100,4,5.03,4.86,162,1,6,31,1423.1,1366,815,768,213,612,1414,1.39,8.94,1.35,81,115,0.986,27.9,CIN
2021,NL Central,83,79,3,4.69,4.4,162,1,8,41,1434.1,1330,760,702,206,617,1524,1.357,9.56,1.29,91,125,0.984,28.9,CIN
2020,NL Central,31,29,3,4.05,3.84,60,3,5,9,504.0,401,243,215,67,213,615,1.218,10.98,1.2,27,36,0.986,28.6,CIN
2019,NL Central,75,87,4,4.39,4.18,162,0,10,46,1438.0,1270,711,668,214,536,1552,1.256,9.71,1.34,91,124,0.984,28.2,CIN
2018,NL Central,67,95,5,5.06,4.63,162,1,6,38,1441.0,1491,819,741,228,532,1258,1.404,7.86,1.42,95,144,0.984,27.1,CIN
2017,NL Central,68,94,5,5.36,5.17,162,2,8,33,1430.0,1442,869,821,248,631,1300,1.45,8.18,1.56,81,132,0.986,27.6,CIN
2016,NL Central,68,94,5,5.27,4.91,162,2,8,28,1442.0,1457,854,786,258,636,1241,1.451,7.75,1.61,102,142,0.983,27.1,CIN
2015,NL Central,64,98,5,4.65,4.33,162,2,8,35,1453.1,1436,754,700,177,544,1252,1.362,7.75,1.1,90,131,0.985,27.3,CIN
2014,NL Central,76,86,4,3.78,3.59,162,5,13,44,1446.0,1282,612,576,163,507,1290,1.237,8.03,1.01,72,120,0.988,28.0,CIN
2013,NL Central,90,72,3,3.64,3.38,162,5,17,43,1473.2,1294,589,554,170,435,1296,1.173,7.91,1.04,76,131,0.988,27.7,CIN
2012,NL Central,97,65,1,3.63,3.34,162,9,12,56,1453.0,1356,588,540,152,427,1248,1.227,7.73,0.94,89,113,0.985,27.1,CIN
2011,NL Central,79,83,3,4.44,4.16,162,4,5,39,1467.2,1414,720,678,185,539,1112,1.331,6.82,1.13,91,146,0.985,27.7,CIN
2010,NL Central,91,71,1,4.23,4.01,162,4,9,43,1453.0,1404,685,648,158,524,1130,1.327,7.0,0.98,72,142,0.988,28.2,CIN
2009,NL Central,78,84,4,4.46,4.18,162,6,12,41,1458.1,1420,723,677,188,577,1069,1.369,6.6,1.16,89,161,0.985,29.0,CIN
2008,NL Central,74,88,5,4.94,4.55,162,2,6,34,1442.1,1542,800,729,201,557,1227,1.455,7.66,1.25,114,156,0.981,28.7,CIN
2007,NL Central,72,90,5,5.27,4.94,162,6,7,34,1449.2,1605,853,796,198,482,1068,1.44,6.63,1.23,95,155,0.984,29.1,CIN
2006,NL Central,80,82,3,4.94,4.51,162,9,10,36,1445.2,1576,801,725,213,464,1053,1.411,6.56,1.33,128,139,0.979,29.5,CIN
2005,NL Central,73,89,5,5.45,5.15,163,2,1,31,1433.0,1657,889,820,219,492,955,1.5,6.0,1.38,104,133,0.983,28.9,CIN
2004,NL Central,76,86,4,5.6,5.19,162,5,8,47,1443.2,1595,907,832,236,572,992,1.501,6.18,1.47,113,123,0.981,28.5,CIN
2003,NL Central,69,93,5,5.47,5.09,162,4,5,38,1446.1,1578,886,818,209,590,932,1.499,5.8,1.3,141,152,0.977,28.0,CIN
2002,NL Central,78,84,3,4.78,4.27,162,2,8,42,1453.2,1502,774,690,173,550,980,1.412,6.07,1.07,120,169,0.981,28.7,CIN
2001,NL Central,66,96,5,5.25,4.77,162,2,2,35,1442.2,1572,850,765,198,515,943,1.447,5.88,1.24,138,136,0.978,27.4,CIN
2000,NL Central,85,77,2,4.69,4.33,163,8,7,42,1456.1,1446,765,700,190,659,1015,1.445,6.27,1.17,111,156,0.982,28.5,CIN
1999,NL Central,96,67,2,4.36,3.98,163,6,11,55,1462.0,1309,711,647,190,636,1081,1.33,6.65,1.17,105,139,0.983,28.0,CIN
1998,NL Central,77,85,4,4.69,4.44,162,6,8,42,1441.1,1400,760,711,170,573,1098,1.369,6.86,1.06,122,142,0.98,28.0,CIN
1997,NL Central,76,86,3,4.72,4.41,162,5,8,49,1449.0,1408,764,710,173,558,1159,1.357,7.2,1.07,106,129,0.982,29.6,CIN
1996,NL Central,81,81,3,4.77,4.32,162,6,8,52,1443.0,1447,773,692,167,591,1089,1.412,6.79,1.04,121,145,0.98,29.2,CIN
1995,NL Central,85,59,1,4.33,4.03,144,8,10,38,1289.1,1270,623,578,131,424,903,1.314,6.3,0.91,79,140,0.986,28.3,CIN
1994,NL Central,66,48,1,4.26,3.78,115,6,6,27,1038.1,1037,490,436,117,339,799,1.325,6.93,1.01,73,91,0.983,27.2,CIN
1993,NL West,73,89,5,4.85,4.51,162,11,8,37,1434.0,1510,785,718,158,508,996,1.407,6.25,0.99,121,133,0.98,27.9,CIN
1992,NL West,90,72,2,3.76,3.46,162,9,11,55,1449.2,1362,609,558,109,470,1060,1.264,6.58,0.68,96,128,0.984,28.1,CIN
1991,NL West,74,88,5,4.27,3.83,162,7,11,43,1440.0,1372,691,613,127,560,997,1.342,6.23,0.79,125,131,0.979,27.6,CIN
1990,NL West,91,71,1,3.69,3.39,162,14,12,50,1456.1,1338,597,549,124,543,1029,1.292,6.36,0.77,102,126,0.983,27.4,CIN
1989,NL West,75,87,5,4.27,3.73,162,16,9,37,1464.1,1404,691,607,125,559,981,1.341,6.03,0.77,121,108,0.98,28.1,CIN
1988,NL West,87,74,2,3.7,3.35,161,24,13,43,1455.0,1271,596,541,121,504,934,1.22,5.78,0.75,125,131,0.98,26.7,CIN
1987,NL West,84,78,2,4.64,4.24,162,7,6,44,1452.1,1486,752,685,170,485,919,1.357,5.69,1.05,130,137,0.979,28.3,CIN
1986,NL West,86,76,2,4.43,3.91,162,14,8,45,1468.0,1465,717,638,136,524,924,1.355,5.66,0.83,140,160,0.978,27.9,CIN
1985,NL West,89,72,2,4.11,3.71,162,24,11,45,1451.1,1347,666,598,131,535,910,1.297,5.64,0.81,122,142,0.98,26.4,CIN
1984,NL West,70,92,5,4.61,4.16,162,25,6,25,1461.1,1445,747,675,128,578,946,1.384,5.83,0.79,139,116,0.977,26.2,CIN
1983,NL West,74,88,6,4.38,3.98,162,34,5,29,1441.1,1365,710,638,135,627,934,1.382,5.83,0.84,114,121,0.981,26.5,CIN
1982,NL West,61,101,6,4.08,3.66,162,22,7,31,1460.1,1414,661,594,105,570,998,1.359,6.15,0.65,128,158,0.98,27.2,CIN
1981,NL West,66,42,1,4.07,3.73,108,25,14,20,965.2,863,440,400,67,393,593,1.301,5.53,0.62,80,99,0.981,26.8,CIN
1980,NL West,89,73,3,4.11,3.85,163,30,12,37,1459.1,1404,670,624,113,506,833,1.309,5.14,0.7,106,144,0.983,26.0,CIN
1979,NL West,90,71,1,4.0,3.58,161,27,10,40,1440.1,1415,644,573,103,485,773,1.319,4.83,0.64,124,152,0.98,28.5,CIN
1978,NL West,92,69,2,4.27,3.81,161,16,10,46,1448.1,1437,688,613,122,567,908,1.384,5.64,0.76,134,120,0.978,28.3,CIN
1977,NL West,88,74,2,4.48,4.21,162,33,12,32,1437.1,1469,725,673,156,544,868,1.401,5.44,0.98,95,154,0.984,29.1,CIN
1976,NL West,102,60,1,3.91,3.51,162,33,12,45,1471.0,1436,633,573,100,491,790,1.31,4.83,0.61,102,157,0.984,27.2,CIN
1975,NL West,108,54,1,3.62,3.37,162,22,8,50,1459.0,1422,586,546,112,487,663,1.308,4.09,0.69,102,173,0.984,27.6,CIN
1974,NL West,98,64,2,3.87,3.41,163,34,11,27,1466.1,1364,631,556,126,536,875,1.296,5.37,0.77,134,151,0.979,27.3,CIN
1973,NL West,99,63,1,3.83,3.4,162,39,17,43,1473.0,1389,621,557,135,518,801,1.295,4.89,0.82,115,162,0.982,26.7,CIN
1972,NL West,95,59,1,3.62,3.21,154,25,15,60,1412.2,1313,557,504,129,435,806,1.237,5.13,0.82,110,143,0.982,25.5,CIN
1971,NL West,79,83,4,3.59,3.35,162,27,11,38,1444.0,1298,581,538,112,501,750,1.246,4.67,0.7,103,174,0.984,25.1,CIN
1970,NL West,102,60,1,4.2,3.69,162,32,15,60,1444.2,1370,681,592,118,592,843,1.358,5.25,0.74,151,173,0.976,25.2,CIN
1969,NL West,89,73,3,4.71,4.11,163,23,11,44,1465.0,1478,768,669,149,611,818,1.426,5.03,0.92,167,158,0.974,27.3,CIN
1968,NL,83,79,4,4.13,3.56,163,24,16,38,1490.1,1399,673,590,114,573,963,1.323,5.82,0.69,144,144,0.978,27.1,CIN
1967,NL,87,75,4,3.48,3.05,162,34,18,40,1468.0,1328,563,497,101,498,1065,1.244,6.53,0.62,121,124,0.98,26.3,CIN
1966,NL,76,84,7,4.39,4.08,160,28,10,35,1436.0,1408,702,651,153,490,1043,1.322,6.54,0.96,122,133,0.98,27.5,CIN
1965,NL,89,73,4,4.35,3.88,162,43,9,34,1457.1,1355,704,629,136,587,1113,1.333,6.87,0.84,117,142,0.981,27.2,CIN
1964,NL,92,70,2,3.47,3.07,163,54,14,35,1467.0,1306,566,501,112,436,1122,1.187,6.88,0.69,130,137,0.979,28.5,CIN
1963,NL,86,76,5,3.67,3.29,162,55,22,36,1439.2,1307,594,527,117,425,1048,1.203,6.55,0.73,135,127,0.978,29.2,CIN
1962,NL,98,64,3,4.23,3.75,162,51,13,35,1460.2,1397,685,609,149,567,964,1.345,5.94,0.92,145,144,0.977,28.4,CIN
1961,NL,93,61,1,4.24,3.78,154,46,12,40,1370.0,1300,653,576,147,500,829,1.314,5.45,0.97,134,124,0.977,26.5,CIN
1960,NL,67,87,6,4.49,4.0,154,33,8,36,1390.1,1417,692,618,134,442,740,1.337,4.79,0.87,125,155,0.979,28.1,CIN
1959,NL,74,80,5,4.79,4.31,154,44,7,26,1357.1,1460,738,650,162,456,690,1.412,4.58,1.07,126,157,0.978,28.8,CIN
1958,NL,76,78,4,4.03,3.73,154,50,7,20,1385.1,1422,621,574,148,419,705,1.329,4.58,0.96,100,148,0.983,30.4,CIN
1957,NL,80,74,4,5.07,4.62,154,40,5,29,1395.2,1486,781,717,179,429,707,1.372,4.56,1.15,107,139,0.982,29.4,CIN
1956,NL,91,63,3,4.25,3.85,155,47,4,28,1389.0,1406,658,594,141,458,653,1.342,4.23,0.91,113,147,0.981,29.5,CIN
1955,NL,75,79,5,4.44,3.95,154,38,12,22,1363.0,1373,684,598,161,443,576,1.332,3.8,1.06,139,169,0.977,28.4,CIN
1954,NL,74,80,5,4.95,4.5,154,34,8,27,1367.1,1491,763,684,169,547,537,1.49,3.53,1.11,137,194,0.977,28.4,CIN
1953,NL,68,86,6,5.08,4.64,155,47,7,15,1365.0,1484,788,703,179,488,506,1.445,3.34,1.18,129,176,0.978,28.2,CIN
1952,NL,69,85,6,4.28,4.01,154,56,11,12,1363.1,1377,659,608,111,517,579,1.389,3.82,0.73,107,145,0.982,28.4,CIN
1951,NL,68,86,6,4.3,3.7,155,55,14,23,1390.2,1357,667,572,119,490,584,1.328,3.78,0.77,140,141,0.977,29.4,CIN
1950,NL,66,87,6,4.8,4.32,153,67,7,13,1357.2,1363,734,651,145,582,686,1.433,4.55,0.96,140,132,0.976,27.8,CIN
1949,NL,62,92,7,4.94,4.34,156,55,10,6,1401.2,1423,770,676,124,640,538,1.472,3.45,0.8,138,150,0.977,27.8,CIN
1948,NL,64,89,7,4.91,4.47,153,40,8,20,1343.1,1410,751,667,104,572,599,1.475,4.01,0.7,158,135,0.973,28.3,CIN
1947,NL,73,81,5,4.9,4.41,154,54,13,13,1365.1,1442,755,669,102,589,633,1.488,4.17,0.67,138,134,0.977,27.9,CIN
1946,NL,67,87,6,3.65,3.08,156,69,17,11,1413.1,1334,570,483,70,467,506,1.274,3.22,0.45,155,192,0.975,31.5,CIN
1945,NL,61,93,7,4.51,4.0,154,77,11,6,1365.2,1438,694,607,70,534,372,1.444,2.45,0.46,146,138,0.976,32.9,CIN
1944,NL,89,65,3,3.46,2.97,155,93,17,10,1398.1,1292,537,462,60,390,369,1.203,2.37,0.39,137,153,0.978,31.7,CIN
1943,NL,87,67,2,3.5,3.13,155,78,18,17,1404.0,1299,543,489,38,579,498,1.338,3.19,0.24,125,193,0.98,31.6,CIN
1942,NL,76,76,4,3.54,2.82,154,80,12,8,1411.2,1213,545,442,47,526,616,1.232,3.93,0.3,177,158,0.971,31.2,CIN
1941,NL,88,66,3,3.66,3.17,154,89,19,10,1386.2,1300,564,488,61,510,627,1.305,4.07,0.4,152,147,0.975,29.8,CIN
1940,NL,100,53,1,3.41,3.05,155,91,10,11,1407.2,1263,528,477,73,445,557,1.213,3.56,0.47,117,158,0.981,29.6,CIN
1939,NL,97,57,1,3.81,3.27,156,86,13,9,1403.2,1340,595,510,81,499,637,1.31,4.08,0.52,162,170,0.974,28.9,CIN
1938,NL,82,68,4,4.2,3.62,151,72,11,16,1362.0,1329,634,548,75,463,542,1.316,3.58,0.5,172,133,0.971,29.1,CIN
1937,NL,56,98,8,4.55,3.94,155,64,10,18,1358.1,1428,706,594,38,533,581,1.444,3.85,0.25,208,139,0.966,28.8,CIN
1936,NL,74,80,5,4.94,4.22,154,50,6,23,1367.1,1576,760,641,51,418,459,1.458,3.02,0.34,191,150,0.969,28.1,CIN
1935,NL,68,85,6,5.01,4.3,154,59,9,12,1356.0,1490,772,648,65,438,500,1.422,3.32,0.43,204,139,0.966,27.5,CIN
1934,NL,52,99,8,5.27,4.37,152,51,3,19,1347.2,1645,801,654,61,389,438,1.509,2.93,0.41,181,136,0.97,29.1,CIN
1933,NL,58,94,8,4.2,3.42,153,74,13,8,1352.0,1470,643,514,47,257,310,1.277,2.06,0.31,177,139,0.971,31.5,CIN
1932,NL,60,94,8,4.61,3.79,155,83,6,5,1394.2,1505,715,587,69,276,359,1.277,2.32,0.45,178,129,0.971,30.8,CIN
1931,NL,58,96,8,4.82,4.22,154,70,7,6,1345.0,1545,742,630,51,399,317,1.445,2.12,0.34,165,194,0.973,29.7,CIN
1930,NL,59,95,7,5.56,5.08,154,61,6,11,1335.0,1650,857,753,75,394,361,1.531,2.43,0.51,161,164,0.973,30.4,CIN
1929,NL,66,88,7,4.9,4.41,155,75,5,8,1369.1,1558,760,671,61,413,347,1.439,2.28,0.4,162,148,0.974,32.0,CIN
1928,NL,78,74,5,4.48,3.94,153,68,11,11,1371.2,1516,686,600,58,410,355,1.404,2.33,0.38,162,194,0.974,32.2,CIN
1927,NL,75,78,5,4.27,3.54,153,87,12,13,1368.0,1472,653,538,36,316,407,1.307,2.68,0.24,165,160,0.973,31.2,CIN
1926,NL,87,67,2,4.15,3.42,157,88,14,8,1408.2,1449,651,535,40,324,424,1.259,2.71,0.26,183,160,0.972,30.7,CIN
1925,NL,80,73,3,4.2,3.38,153,92,11,12,1375.1,1447,643,517,35,324,437,1.288,2.86,0.23,203,161,0.968,30.8,CIN
1924,NL,83,70,4,3.78,3.12,153,77,14,9,1378.0,1408,579,477,30,293,451,1.234,2.95,0.2,217,142,0.966,30.4,CIN
1923,NL,91,63,2,4.08,3.21,154,88,11,9,1391.1,1465,629,497,28,359,450,1.311,2.91,0.18,202,144,0.969,28.8,CIN
1922,NL,86,68,2,4.34,3.53,156,90,8,4,1385.2,1481,677,544,49,326,357,1.304,2.32,0.32,205,147,0.968,27.7,CIN
1921,NL,70,83,6,4.24,3.46,153,83,7,9,1363.0,1500,649,524,37,305,408,1.324,2.69,0.24,193,139,0.969,30.0,CIN
1920,NL,82,71,3,3.69,2.9,154,90,12,10,1391.2,1327,569,448,26,393,435,1.236,2.81,0.17,200,125,0.968,27.8,CIN
1919,NL,96,44,1,2.86,2.23,140,89,23,9,1274.0,1104,401,316,21,298,407,1.1,2.88,0.15,151,98,0.974,27.4,CIN
1918,NL,68,60,3,3.84,3.0,129,84,14,6,1142.1,1136,496,381,19,381,321,1.328,2.53,0.15,192,131,0.964,24.8,CIN
1917,NL,78,76,4,3.89,2.7,157,94,12,6,1397.1,1358,611,419,20,402,488,1.26,3.14,0.13,247,120,0.962,25.0,CIN
1916,NL,60,93,7,3.98,3.1,155,86,7,6,1408.0,1356,617,485,35,461,569,1.29,3.64,0.22,228,126,0.965,25.9,CIN
1915,NL,71,83,7,3.66,2.84,160,80,19,12,1432.1,1304,585,452,28,497,572,1.257,3.59,0.18,222,148,0.966,24.5,CIN
1914,NL,60,94,8,4.15,2.94,157,74,15,15,1387.1,1259,651,453,30,489,607,1.26,3.94,0.19,314,113,0.952,25.3,CIN
1913,NL,64,89,7,4.6,3.46,156,71,10,10,1380.0,1398,717,530,40,456,522,1.343,3.4,0.26,251,104,0.961,28.2,CIN
1912,NL,75,78,4,4.66,3.42,155,86,13,10,1377.2,1455,722,524,28,452,561,1.384,3.66,0.18,249,102,0.96,26.9,CIN
1911,NL,70,83,6,4.44,3.26,159,77,4,12,1425.0,1410,706,516,36,476,557,1.324,3.52,0.23,295,108,0.955,28.1,CIN
1910,NL,75,79,5,4.38,3.08,156,86,16,11,1386.2,1334,684,475,27,528,497,1.343,3.23,0.18,291,103,0.955,27.0,CIN
1909,NL,77,76,4,3.82,2.52,157,91,10,8,1407.0,1233,599,394,5,510,477,1.239,3.05,0.03,309,120,0.952,28.1,CIN
1908,NL,73,81,5,3.5,2.37,155,110,17,8,1384.0,1218,543,365,19,415,433,1.18,2.82,0.12,255,72,0.959,30.0,CIN
1907,NL,66,87,6,3.33,2.41,156,118,10,2,1351.1,1223,519,362,16,444,481,1.234,3.2,0.11,227,118,0.963,28.0,CIN
1906,NL,64,87,6,3.75,2.69,155,126,12,5,1369.2,1248,582,409,14,470,567,1.254,3.73,0.09,262,97,0.959,29.9,CIN
1905,NL,79,74,5,4.5,3.01,155,119,10,2,1365.2,1409,698,457,22,439,547,1.353,3.6,0.14,310,122,0.953,26.5,CIN
1904,NL,88,65,3,3.48,2.34,157,142,12,2,1392.2,1256,547,362,13,343,502,1.148,3.24,0.08,301,81,0.954,26.6,CIN
1903,NL,74,65,4,4.65,3.07,141,126,11,1,1230.0,1277,656,420,14,378,480,1.346,3.51,0.1,312,84,0.946,28.0,CIN
1902,NL,70,70,4,4.01,2.67,141,130,9,1,1239.0,1228,566,368,15,352,430,1.275,3.12,0.11,322,118,0.945,26.1,CIN
1901,NL,52,87,8,5.76,4.17,142,126,4,0,1265.2,1469,818,587,51,365,542,1.449,3.85,0.36,355,102,0.94,26.1,CIN
1900,NL,62,77,7,5.17,3.83,144,118,9,1,1274.2,1383,745,543,28,404,399,1.402,2.82,0.2,341,120,0.945,26.3,CIN
1899,NL,83,67,6,4.95,3.7,157,131,8,5,1373.0,1494,777,564,26,372,361,1.359,2.37,0.17,341,113,0.947,26.0,CIN
1898,NL,92,60,3,4.71,3.5,157,131,10,2,1385.1,1484,740,538,16,449,294,1.395,1.91,0.1,325,128,0.95,26.4,CIN
1897,NL,76,56,4,5.26,4.09,134,100,4,2,1156.2,1375,705,525,18,329,270,1.473,2.1,0.14,273,100,0.948,27.9,CIN
1896,NL,77,50,3,4.84,3.67,128,105,12,4,1108.0,1240,620,452,27,310,219,1.399,1.78,0.22,252,107,0.951,27.7,CIN
1895,NL,66,64,8,6.47,4.81,132,97,2,6,1147.1,1451,854,613,39,362,245,1.58,1.92,0.31,377,112,0.931,27.7,CIN
1894,NL,55,75,10,8.27,5.99,134,112,4,3,1165.1,1616,1108,775,85,500,223,1.816,1.72,0.66,430,122,0.925,25.2,CIN
1893,NL,65,63,6,6.21,4.55,131,97,4,5,1172.0,1305,814,592,38,549,258,1.582,1.98,0.29,321,138,0.943,25.3,CIN
1892,NL,82,68,5,4.72,3.17,155,130,8,2,1377.1,1327,731,485,39,535,437,1.352,2.86,0.25,402,140,0.939,25.8,CIN
1891,NL,56,81,7,5.72,3.55,138,125,6,1,1218.2,1234,790,481,40,465,393,1.394,2.9,0.3,409,101,0.931,29.2,CIN
1890,NL,77,55,4,4.72,2.79,134,124,9,1,1190.2,1097,633,369,41,407,488,1.263,3.69,0.31,382,106,0.932,26.0,CIN
1889,AA,76,63,4,5.45,3.5,141,114,3,8,1243.0,1270,769,484,35,475,562,1.404,4.07,0.25,440,121,0.926,25.7,CIN
1888,AA,80,54,4,4.58,2.73,137,132,10,2,1237.2,1103,628,375,19,310,539,1.142,3.92,0.14,456,100,0.923,23.3,CIN
1887,AA,81,54,2,5.48,3.58,136,129,11,1,1182.2,1202,745,471,28,396,330,1.351,2.51,0.21,484,106,0.916,24.1,CIN
1886,AA,65,73,5,6.13,4.18,141,129,3,0,1247.2,1267,865,580,25,481,495,1.401,3.57,0.18,582,122,0.905,24.3,CIN
1885,AA,63,49,2,5.13,3.26,112,102,7,1,999.1,998,575,362,24,250,330,1.249,2.97,0.22,423,86,0.911,24.8,CIN
1884,AA,68,41,5,4.57,3.33,112,111,11,0,983.2,955,512,364,27,181,308,1.155,2.82,0.25,430,82,0.909,27.1,CIN
1883,AA,61,37,3,4.21,2.26,98,96,8,0,866.2,766,413,218,17,168,215,1.078,2.23,0.18,383,57,0.905,27.3,CIN
1882,AA,55,25,1,3.35,1.65,80,77,11,0,721.1,609,268,132,7,125,165,1.018,2.06,0.09,332,41,0.907,26.6,CIN
2023,AL Central,76,86,3,4.3,3.99,162,1,13,47,1444.0,1353,697,640,173,534,1311,1.307,8.17,1.08,82,119,0.986,26.1,CLE
2022,AL Central,92,70,1,3.91,3.46,162,1,8,51,1456.0,1252,634,560,172,435,1390,1.159,8.59,1.06,97,127,0.984,26.3,CLE
